st_zone,end_zone,multi_time,Taxi_time
205,1,1,1
117,1,1,1
176,1,1,1
16,1,1,1
201,1,1,1
96,1,1,1
101,1,1,1
183,1,1,1
64,1,1,1
9,1,1,1
81,1,1,1
259,1,1,1
73,1,1,1
149,2,2,2
131,2,2,2
51,2,2,2
139,2,2,2
154,2,2,2
21,2,2,2
38,2,2,2
57,2,2,2
192,2,2,2
200,2,2,2
86,2,2,2
222,2,2,2
55,3,3,3
120,3,3,3
121,3,3,3
253,3,3,3
111,3,3,3
150,3,3,3
123,3,3,3
191,3,3,3
3,3,3,3
240,3,3,3
171,3,3,3
31,3,3,3
227,4,4,4
218,4,4,4
210,4,4,4
11,4,4,4
91,4,4,4
203,4,4,4
20,4,4,4
22,4,4,4
72,4,4,4
254,4,4,4
178,4,4,4
29,4,4,4
174,4,4,4
252,4,4,4
155,4,4,4
153,4,4,4
185,5,5,5
98,5,5,5
128,5,5,5
71,5,5,5
1,5,5,5
180,6,6,6
108,6,6,6
60,6,6,6
241,6,6,6
165,6,6,6
78,6,6,6
94,6,6,6
53,7,7,7
212,7,7,7
26,7,7,7
147,7,7,7
208,7,7,7
124,7,7,7
18,7,7,7
67,7,7,7
32,7,7,7
182,7,7,7
250,7,7,7
248,8,8,8
160,8,8,8
258,8,8,8
47,8,8,8
102,9,9,9
77,9,9,9
8,9,9,9
207,9,9,9
39,10,10,10
213,10,10,10
177,10,10,10
167,10,10,10
63,10,10,10
35,11,11,11
136,11,11,11
126,11,11,11
197,11,11,11
135,12,12,12
242,12,12,12
235,13,13,13
76,14,14,14
169,14,14,14
220,15,15,15
173,15,15,15
85,15,15,15
198,18,18,18
133,19,19,19
56,19,19,19
257,19,19,19
14,21,21,21
119,21,21,21
134,21,21,21
202,23,23,23
92,24,24,24
219,25,25,25
62,26,26,26
34,26,26,26
69,27,27,27
157,30,30,30
225,32,32,32
54,33,33,33
159,34,34,34
83,35,35,35
190,36,36,36
196,36,36,36
215,36,36,36
195,37,37,37
216,37,37,37
217,37,37,37
89,38,38,38
228,39,39,39
93,39,39,39
28,39,39,39
130,41,41,41
188,44,44,44
127,49,49,49
194,49,49,49
95,58,58,58
168,60,60,60
10,61,61,61
70,61,61,61
247,62,62,62
106,66,66,66
82,66,66,66
36,67,67,67
61,68,68,68
17,68,68,68
243,70,70,70
193,74,74,74
189,77,77,77
37,78,78,78
12,81,81,81
129,83,83,83
260,84,84,84
52,86,86,86
179,87,87,87
66,89,89,89
49,97,97,97
40,97,97,97
152,99,99,99
116,102,102,102
244,105,105,105
80,107,107,107
24,107,107,107
223,110,110,110
42,111,111,111
146,113,113,113
224,115,115,115
33,117,117,117
112,119,119,119
25,122,122,122
166,124,124,124
145,127,127,127
255,128,128,128
97,128,128,128
256,129,129,129
7,131,131,131
41,132,132,132
4,133,133,133
151,134,134,134
65,135,135,135
226,137,137,137
209,138,138,138
45,138,138,138
125,139,139,139
181,142,142,142
13,145,145,145
211,147,147,147
232,147,147,147
43,148,148,148
74,149,149,149
262,149,149,149
143,151,151,151
75,155,155,155
238,157,157,157
261,160,160,160
88,161,161,161
236,165,165,165
246,168,168,168
144,169,169,169
158,171,171,171
87,171,171,171
50,172,172,172
233,175,175,175
239,176,176,176
263,176,176,176
113,176,176,176
142,179,179,179
141,182,182,182
114,185,185,185
107,186,186,186
140,187,187,187
137,188,188,188
249,191,191,191
231,193,193,193
90,194,194,194
237,194,194,194
229,194,194,194
68,198,198,198
234,199,199,199
163,200,200,200
164,200,200,200
148,201,201,201
161,201,201,201
162,207,207,207
170,210,210,210
100,210,210,210
79,211,211,211
230,213,213,213
48,215,215,215
186,220,220,220
138,243,243,243
132,249,249,249
